User, Scheme, Time, Login, Count, SuccessCount, FailCount, 
"ast114","az09-4",12,1,18,11,7,
"ast114","az09-4",8,1,19,12,7,
"ast114","az09-4",20,1,20,13,7,
"ast114","az09-4",22,1,21,14,7,
"ast114","az09-4",8,1,22,15,7,
"ast115","az09-4",5,1,1,1,0,
"ast115","az09-4",5,1,2,2,0,
"ast115","az09-4",6,1,3,3,0,
"ast115","az09-4",9,1,4,4,0,
"ast115","az09-4",12,1,5,5,0,
"ast115","az09-4",6,1,6,6,0,
"ast115","az09-4",25,1,7,7,0,
"ast115","az09-4",20,1,8,8,0,
"ast115","az09-4",16,1,9,9,0,
"ast115","az09-4",15,1,10,10,0,
"ast115","az09-4",9,1,11,11,0,
"ast115","az09-4",10,1,12,12,0,
"ast115","az09-4",16,1,13,13,0,
"ast115","az09-4",7,1,14,14,0,
"ast115","az09-4",7,1,15,15,0,
"ast116","az09-4",6,1,1,1,0,
"ast116","az09-4",6,1,2,2,0,
"ast116","az09-4",4,1,3,3,0,
"ast116","az09-4",4,1,4,4,0,
"ast116","az09-4",5,1,5,5,0,
"ast116","az09-4",4,1,6,6,0,
"ast116","az09-4",9,1,7,7,0,
"ast116","az09-4",6,1,8,8,0,
"ast116","az09-4",8,1,9,9,0,
"ast116","az09-4",7,1,10,10,0,
"ast116","az09-4",7,1,11,11,0,
"ast116","az09-4",7,1,12,12,0,
"ast116","az09-4",6,1,13,13,0,
"ast116","az09-4",5,1,14,14,0,
"ast116","az09-4",5,1,15,15,0,
"ast118","az09-4",7,1,1,1,0,
"ast118","az09-4",9,0,2,1,1,
"ast118","az09-4",5,1,3,2,1,
"ast118","az09-4",7,1,4,3,1,
"ast118","az09-4",7,1,5,4,1,
"ast118","az09-4",11,1,6,5,1,
"ast118","az09-4",7,1,7,6,1,
"ast118","az09-4",7,1,8,7,1,
"ast118","az09-4",9,1,9,8,1,
"ast118","az09-4",9,1,10,9,1,
"ast118","az09-4",6,1,11,10,1,
"ast118","az09-4",9,1,12,11,1,
"ast118","az09-4",8,1,13,12,1,
"ast118","az09-4",8,1,14,13,1,
"ast118","az09-4",6,1,15,14,1,
"ast118","az09-4",11,1,16,15,1,
"ast125","az09-4",6,0,1,0,1,
"ast125","az09-4",6,1,2,1,1,
"ast125","az09-4",6,1,3,2,1,
"ast125","az09-4",5,1,4,3,1,
"ast125","az09-4",4,0,5,3,2,
"ast125","az09-4",5,1,6,4,2,
"ast125","az09-4",4,1,7,5,2,
"ast125","az09-4",5,1,8,6,2,
"ast125","az09-4",15,1,9,7,2,
"ast125","az09-4",4,1,10,8,2,
"ast125","az09-4",6,1,11,9,2,
"ast125","az09-4",7,1,12,10,2,
"ast125","az09-4",7,1,13,11,2,
"ast125","az09-4",4,1,14,12,2,
"ast125","az09-4",4,1,15,13,2,
"ast125","az09-4",8,0,16,13,3,
"ast125","az09-4",4,1,17,14,3,
"ast125","az09-4",14,1,18,15,3,
"ast131","az09-4",17,1,1,1,0,
"ast131","az09-4",6,1,2,2,0,
"ast131","az09-4",7,1,3,3,0,
"ast131","az09-4",11,0,4,3,1,
"ast131","az09-4",8,0,5,3,2,
"ast131","az09-4",8,0,6,3,3,
"ast131","az09-4",49,0,7,3,4,
"ast131","az09-4",9,0,8,3,5,
"ast131","az09-4",8,1,9,4,5,
"ast131","az09-4",50,0,10,4,6,
"ast131","az09-4",19,1,11,5,6,
"ast131","az09-4",25,1,12,6,6,
"ast131","az09-4",30,1,13,7,6,
"ast131","az09-4",9,1,14,8,6,
"ast131","az09-4",13,1,15,9,6,
"ast131","az09-4",10,1,16,10,6,
"ast131","az09-4",7,1,17,11,6,
"ast131","az09-4",8,1,18,12,6,
"ast131","az09-4",8,1,19,13,6,
"ast131","az09-4",7,1,20,14,6,
"ast131","az09-4",7,1,21,15,6,
"ast133","az09-4",10,1,1,1,0,
"ast133","az09-4",12,1,2,2,0,
"ast133","az09-4",10,1,3,3,0,
"ast133","az09-4",16,1,4,4,0,
"ast133","az09-4",16,1,5,5,0,
"ast133","az09-4",9,1,6,6,0,
"ast133","az09-4",22,1,7,7,0,
"ast133","az09-4",25,1,8,8,0,
"ast133","az09-4",11,1,9,9,0,
"ast134","az09-4",5,1,1,1,0,
"ast134","az09-4",5,1,2,2,0,
"ast134","az09-4",6,1,3,3,0,
"ast134","az09-4",16,1,4,4,0,
"ast134","az09-4",5,1,5,5,0,
"ast134","az09-4",5,1,6,6,0,
"ast134","az09-4",5,1,7,7,0,
"ast134","az09-4",4,1,8,8,0,
"ast134","az09-4",5,1,9,9,0,
"ast134","az09-4",13,1,10,10,0,
"ast134","az09-4",11,1,11,11,0,
"ast134","az09-4",10,1,12,12,0,
"ast134","az09-4",5,1,13,13,0,
"ast134","az09-4",7,1,14,14,0,
"ast134","az09-4",11,1,15,15,0,
"ast135","az09-4",5,0,1,0,1,
"ast135","az09-4",9,1,2,1,1,
"ast135","az09-4",7,1,3,2,1,
"ast135","az09-4",6,1,4,3,1,
"ast136","az09-4",8,1,1,1,0,
"ast136","az09-4",8,1,2,2,0,
"ast136","az09-4",8,1,3,3,0,
"ast136","az09-4",23,1,4,4,0,
"ast136","az09-4",10,1,5,5,0,
"ast136","az09-4",11,1,6,6,0,
"ast136","az09-4",8,1,7,7,0,
"ast136","az09-4",8,1,8,8,0,
"ast136","az09-4",10,1,9,9,0,
"ast136","az09-4",8,1,10,10,0,
"ast136","az09-4",12,1,11,11,0,
"ast136","az09-4",10,1,12,12,0,
"ast136","az09-4",9,1,13,13,0,
"ast136","az09-4",15,1,14,14,0,
"ast136","az09-4",7,1,15,15,0,
"ast138","az09-4",16,1,1,1,0,
"ast138","az09-4",11,1,2,2,0,
"ast138","az09-4",11,1,3,3,0,
"ast138","az09-4",11,1,4,4,0,
"ast138","az09-4",13,1,5,5,0,
"ast138","az09-4",18,1,6,6,0,
"ast138","az09-4",12,1,7,7,0,
"ast138","az09-4",17,1,8,8,0,
"ast138","az09-4",31,1,9,9,0,
"ast138","az09-4",14,1,10,10,0,
"ast138","az09-4",17,1,11,11,0,
"ast138","az09-4",14,1,12,12,0,
"ast138","az09-4",16,1,13,13,0,
"ast138","az09-4",24,1,14,14,0,
"ast138","az09-4",11,1,15,15,0,
"ast138","az09-4",15,1,16,16,0,
