User, Scheme, Time, Login, Count, SuccessCount, FailCount, 
lokir,P2,7,0,1,0,1
lokir,P2,11,0,2,0,2
lokir,P2,19,1,3,1,2
jack,P2,10,0,1,0,1
jack,P2,19,1,2,1,1
martha,P2,24,0,1,0,1
martha,P2,30,0,2,0,2
martha,P2,60,1,3,1,2
kar,P2,6,0,1,0,1
kar,P2,16,0,2,0,2
kar,P2,45,0,3,0,3
rob,P2,15,1,1,1,0
jamal,P2,32,0,1,0,1
jamal,P2,37,0,2,0,2
jamal,P2,52,0,3,0,3
pan,P2,14,1,1,1,0
